author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/296106392/;Зеленоград;sale;flat;4;6;3;219.4;316240088;Хамовники; Остоженка;11;Кропоткинская;Остоженка 11
Isaev Estate;real_estate_agent;https://www.cian.ru/sale/flat/306841214/;Зеленоград;sale;flat;18;21;4;272.0;400000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/280950375/;Зеленоград;sale;flat;2;4;3;219.0;589238596;Хамовники;Пречистенская набережная;5;Парк Культуры;Кленовый DOM
Мой мир;real_estate_agent;https://omsk.cian.ru/sale/flat/308452973/;Зеленоград;sale;flat;3;9;1;36.9;3800000;мкр. 6-й; Степанца;12;;
КАПИТАЛ;real_estate_agent;https://spb.cian.ru/sale/flat/303753408/;Зеленоград;sale;flat;6;13;1;41.2;12400000;Московский;Кузнецовская ;58к3;Парк Победы;
House Estate;real_estate_agent;https://spb.cian.ru/sale/flat/298588228/;Зеленоград;sale;flat;4;8;1;38.5;15790000;Петроградский;Ремесленная ;17;Василеостровская;
ID 80865748;unknown;https://spb.cian.ru/sale/flat/308158325/;Зеленоград;sale;flat;3;9;3;101.4;34000000;Адмиралтейский;Малодетскосельский проспект;40;Фрунзенская;Идеалист
Intermark Real Estate;real_estate_agent;https://spb.cian.ru/sale/flat/308157834/;Зеленоград;sale;flat;2;3;4;110.0;36000000;Адмиралтейский;Английская набережная;58;Василеостровская;
ZIP Realty;real_estate_agent;https://spb.cian.ru/sale/flat/306360164/;Зеленоград;sale;flat;4;9;3;107.0;65900000;Центральный;Кирочная ;62;Чернышевская;Щедрин
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/306924872/;Зеленоград;sale;flat;10;12;2;44.0;10800000;Дмитровский;Клязьминская ;4;Грачёвская;
ID 13091987;homeowner;https://kotelniki.cian.ru/sale/flat/308246236/;Зеленоград;sale;flat;14;17;1;35.9;11490000;; Сосновая;1к2;Котельники;Оранж парк
ID 49930636;homeowner;https://krasnogorsk.cian.ru/sale/flat/307820982/;Зеленоград;sale;flat;4;26;2;59.9;14700000;;бульвар Ильинский;2А;Пенягино;Павшинская пойма мкрн. 4
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/300074305/;Зеленоград;sale;flat;5;38;1;39.8;20500000;Останкинский; Вильгельма Пика;;Улица Сергея Эйзенштейна;Режиссёр
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307707684/;Зеленоград;sale;flat;7;9;2;44.8;25000000;Даниловский;Автозаводская ;23с931к3;Технопарк;WOW
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307135110/;Зеленоград;sale;flat;9;20;3;64.56;26640000;Даниловский;Автозаводская ;26;Тульская;FORST
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/305039805/;Зеленоград;sale;flat;7;26;2;62.2;29900000;Марфино; Академика Королева;21;Останкино;Дом Достижение
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307851608/;Зеленоград;sale;flat;4;23;2;62.5;31300000;Хорошево-Мневники; Нижние Мневники;9;Терехово ;Остров
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307850573/;Зеленоград;sale;flat;2;23;2;62.7;31500000;Хорошево-Мневники; Нижние Мневники;16к3;Терехово ;Остров
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307970298/;Зеленоград;sale;flat;14;32;1;44.0;32500000;Черемушки;Херсонская ;43к5;Зюзино;ONYX Deluxe
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307131828/;Зеленоград;sale;flat;11;20;4;90.71;32500000;Даниловский;Автозаводская ;26;Тульская;FORST
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/306154714/;Зеленоград;sale;flat;4;16;2;71.0;32900000;Можайский; Багрицкого;18;Кунцевская;Свой
РКС Девелопмент;developer;https://www.cian.ru/sale/flat/303793387/;Зеленоград;sale;flat;9;15;2;61.45;33158420;Даниловский;Автозаводская ;24К1;Тульская;Дом на набережной INSIDER
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307950468/;Зеленоград;sale;flat;4;13;1;43.6;37500000;Пресненский; Сергея Макеева;9к1;Улица 1905 года;RedSide
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307956811/;Зеленоград;sale;flat;12;24;2;68.0;39800000;Хорошево-Мневники;Шелепихинская набережная;34к3;Шелепиха;Сердце Столицы
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308067558/;Зеленоград;sale;flat;19;29;3;79.54;41900000;Марфино; Академика Королева;21;Останкино;Дом Достижение
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/299237057/;Зеленоград;sale;flat;13;21;3;61.0;42800000;Басманный; Земляной Вал;37;Чкаловская;Дом Chkalov
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/308345048/;Зеленоград;sale;flat;18;23;2;86.9;43000000;Хорошево-Мневники;проезд Проектируемый № 1074;1;Терехово ;Остров
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/308888845/;Зеленоград;sale;flat;10;12;2;78.6;44900000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308142340/;Зеленоград;sale;flat;10;21;3;69.0;44900000;Басманный; Земляной Вал;37;Чкаловская;Дом Chkalov
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/305856289/;Зеленоград;sale;flat;11;26;3;85.0;45000000;Лефортово; Крузенштерна;12к3;Авиамоторная;Символ
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307785166/;Зеленоград;sale;flat;17;41;3;68.0;46300000;Раменки;1-й Сетуньский проезд;8;Кутузовская;Hide
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308017227/;Зеленоград;sale;flat;3;24;2;78.0;46900000;Раменки;Мичуринский проспект;7;Ломоносовский проспект;Квартал Шуваловский
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308709765/;Зеленоград;sale;flat;48;50;4;98.5;47280000;Раменки; Лобачевского;118Ас14;Аминьевская;Событие
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/308953933/;Зеленоград;sale;flat;10;12;3;85.8;48000000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/304687237/;Зеленоград;sale;flat;12;23;3;108.2;52000000;Пресненский;Шмитовский проезд;39к1;Шелепиха;Headliner
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307460209/;Зеленоград;sale;flat;7;24;3;66.0;54500000;Беговой;Верхняя ;20к1;Белорусская;Суббота
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308709767/;Зеленоград;sale;flat;16;24;4;110.9;58500000;Тропарево-Никулино;проспект Вернадского;80;Юго-Западная;Клубный дом Full House
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306458673/;Зеленоград;sale;flat;3;14;2;62.0;63000000;Замоскворечье;Мытная ;7с1;Серпуховская;Английский квартал
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/305692659/;Зеленоград;sale;flat;5;30;3;135.0;69000000;Южнопортовый; 1-я Машиностроения;10;Дубровка;Дубровская Слобода
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308072807/;Зеленоград;sale;flat;36;66;2;74.0;81000000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/301716912/;Зеленоград;sale;flat;48;64;2;104.0;98100000;Пресненский;набережная Пресненская;8с1;Деловой центр;Город Столиц
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307133036/;Зеленоград;sale;flat;20;20;5;184.08;99400000;Даниловский;Автозаводская ;26;Тульская;FORST
Андрей Давыдов;realtor;https://www.cian.ru/sale/flat/299878239/;Зеленоград;sale;flat;3;11;3;116.69;116690000;Дорогомилово;;3к4;Парк Победы;Виктори Парк Резиденсез ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/304960881/;Зеленоград;sale;flat;7;8;2;75.0;132550000;Якиманка;Софийская набережная;34;Новокузнецкая;Софийский
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307584637/;Зеленоград;sale;flat;13;21;2;130.0;155000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Ашихмин и партнёры;real_estate_agent;https://www.cian.ru/sale/flat/307710284/;Зеленоград;sale;flat;3;8;4;131.6;165000000;Замоскворечье; Малая Ордынка;19;Третьяковская;Малая Ордынка 19
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307950487/;Зеленоград;sale;flat;14;24;4;180.0;180000000;Беговой;Верхняя ;20к1;Белорусская;Суббота
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308719407/;Зеленоград;sale;flat;2;8;3;150.0;215000000;Якиманка;Софийская набережная;34;Новокузнецкая;Софийский
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/307444629/;Зеленоград;sale;flat;43;61;5;208.0;275000000;Пресненский;Краснопресненская набережная;14Ак1;Москва-Сити;Capital Towers
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307640044/;Зеленоград;sale;flat;18;21;4;273.0;400000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306469434/;Зеленоград;sale;flat;6;16;4;227.0;454000000;Хамовники; Усачева;13;Спортивная;Садовые кварталы
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/290411907/;Зеленоград;sale;flat;2;4;3;219.2;589238596;Хамовники;Пречистенская набережная;5;Парк Культуры;Кленовый DOM
Флагман;real_estate_agent;https://krasnodar.cian.ru/sale/flat/307815594/;Зеленоград;sale;flat;9;16;1;39.0;5200000;Прикубанский; Летчика Позднякова;2;;Дыхание
